area_type,availability,location,size,society,total_sqft,bath,balcony,price,location_numerical,,Number of Bedrooms
Plot  Area,Ready To Move,Subramanyanagar,8,,1320,6,2,2000000,1114,,
Super built-up  Area,Ready To Move,Yelahanka,3,Prensya,1705,3,1,741600,1261,,
Super built-up  Area,Ready To Move,Thigalarapalya,2,,1418,2,2,950000,1153,,
Built-up  Area,Ready To Move,Ramamurthy Nagar,3,,1500,3,1,1600000,990,,
Built-up  Area,Ready To Move,Hebbal,2,AkncyRe,1100,2,2,500000,513,,
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3,,1464,3,2,560000,628,,
Super built-up  Area,18-May,Hebbal,2,Arcia S,812,2,2,550000,513,,
Super built-up  Area,19-Dec,Binny Pete,4,Shestlo,2695 - 2940,,,2040000,267,,
Super built-up  Area,Ready To Move,Doddanekundi,2,,1280,2,2,400000,395,,
Super built-up  Area,Ready To Move,Whitefield,2,BruntPa,1420,2,2,1360000,1252,,
Plot  Area,Ready To Move,1 Ramamurthy Nagar,11,,1200,11,0,1700000,17,,
Plot  Area,Ready To Move,Kadugondanahalli,6,,727,6,2,660000,636,,
Plot  Area,Ready To Move,Banashankari Stage II,4,,1200,2,1,1500000,202,,
Super built-up  Area,18-May,Old Airport Road,4,Jaades ,2774,4,,2070000,895,,
Super built-up  Area,Ready To Move,5th Stage BEML Layout,3,,2000,3,2,850000,63,,
Super built-up  Area,Ready To Move,HBR Layout,3,Gats He,1722,3,,950000,489,,
Super built-up  Area,Ready To Move,Indira Nagar,3,ToSky F,2800,3,1,3300000,563,,
Plot  Area,Immediate Possession,IVC Road,,Orana N,2000 - 5634,,,1240000,558,,
Carpet  Area,Ready To Move,Jaya Mahal layout,3,Fanorrt,1650,3,3,1750000,596,,
Built-up  Area,Ready To Move,BSM Extension,2,Raave E,840,2,2,270000,173,,
Built-up  Area,Ready To Move,Jigani,2,DLhtsan,914,2,2,470000,606,,
Super built-up  Area,19-Mar,Hennur Road,3,Puachal,1482,2,2,837300,522,,
Super built-up  Area,17-Dec,Kundalahalli,3,Dieldli,1724,3,2,1270000,731,,
Super built-up  Area,Ready To Move,Vijinapura,3,Vadidpl,1670,3,3,918600,1224,,
Super built-up  Area,Ready To Move,Banaswadi,2,,1184,2,3,530000,208,,
Super built-up  Area,Ready To Move,Kodigehaali,2,,1200,2,1,550000,703,,
Plot  Area,Ready To Move,TC Palaya,2,,1200,2,0,650000,1138,,
Super built-up  Area,Ready To Move,Jigani,2,DLhtsen,927,2,2,550000,606,,
Super built-up  Area,Ready To Move,P&T Layout,2,,1242,2,3,397000,904,,
Built-up  Area,18-Aug,Electronic City Phase II,3,Sryalan,1220,3,1,352300,419,,
Built-up  Area,Ready To Move,Electronic City,3,GMown E,1360,2,1,750000,417,,
Plot  Area,Ready To Move,Brookefield,4,,2800,4,2,2400000,277,,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2,Hiestre,1180,2,2,720000,72,,
Super built-up  Area,Ready To Move,Whitefield,3,Prtates,1697,3,2,1080000,1252,,
Super built-up  Area,Ready To Move,Yelahanka New Town,2,,550,2,1,260000,1262,,
Super built-up  Area,Ready To Move,Hennur,2,Shateor,1225,2,1,570000,518,,
Super built-up  Area,Ready To Move,Byrasandra,3,ViisePa,1690,2,2,550000,284,,
Plot  Area,18-Apr,SBM Colony,10,,1660,10,,4750000,1013,,
Super built-up  Area,Ready To Move,Veerannapalya,3,,1488,3,,570000,1202,,
Built-up  Area,Ready To Move,Chowdeshwari Layout,3,Keharya,1250,2,1,800000,337,,
Super built-up  Area,Ready To Move,JP Nagar,1,Duoveoo,1050,1,1,440000,575,,
Super built-up  Area,Ready To Move,HSR Layout,2,,1027,2,2,440000,494,,
Super built-up  Area,21-May,Kanakpura Road,3,GolusLi,1699,3,3,819400,664,,
Built-up  Area,Ready To Move,Whitefield,2,Viaree ,1205,2,2,580000,1252,,
Plot  Area,Ready To Move,Mathikere Extension,4,,712,2,1,675000,814,,
Super built-up  Area,18-Feb,Horamavu Agara,2,,950,2,3,390000,533,,
Plot  Area,Ready To Move,TC Palaya,2,,1200,2,0,700000,1138,,
Super built-up  Area,Ready To Move,Akshaya Nagar,3,Hiows C,1476,3,1,1200000,98,,
Built-up  Area,Ready To Move,CV Raman Nagar,2,,1070,2,1,550000,292,,
Super built-up  Area,Ready To Move,EPIP Zone,3,BrontLa,2160,4,2,1720000,415,,
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2,Putus L,1296,2,1,750000,1049,,
Built-up  Area,Ready To Move,Chikkalasandra,2,,1800,1,1,1280000,326,,
Super built-up  Area,Ready To Move,Kanakpura Road,3,JRrnauv,1570,3,3,645000,664,,
Super built-up  Area,Ready To Move,Koramangala,2,Saace P,1300,2,3,1100000,713,,
Built-up  Area,Ready To Move,Sarjapur,4,,1550,2,2,650000,1038,,
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,770,1,1,400000,417,,
Built-up  Area,Ready To Move,Jalahalli,3,Kuownri,1870,3,,1100000,589,,
Plot  Area,Ready To Move,Anantapura,3,Edleyil,1650,4,,1600000,119,,
Super built-up  Area,Ready To Move,Domlur,3,Valipf ,1429,3,3,860000,402,,
Super built-up  Area,17-Nov,Babusapalaya,3,,1167,2,2,399800,181,,
Super built-up  Area,18-May,Bommasandra,2,SSestth,1035,2,1,417300,270,,
Super built-up  Area,Ready To Move,Kengeri,3,,1188,2,2,380000,688,,
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,5,,1200,4,2,2850000,43,,
Plot  Area,Ready To Move,Sarjapur,3,Inensba,1574Sq. Yards,3,1,760000,1038,,
Super built-up  Area,Ready To Move,Nagarbhavi,1,MaentNa,884,2,2,360000,848,,
Super built-up  Area,Ready To Move,Haralur Road,2,,1194,2,2,460000,506,,
Super built-up  Area,19-Dec,Hoodi,2,Caycend,1026,2,1,608700,530,,
Plot  Area,Ready To Move,Shivaji Nagar,7,,1400,6,3,2000000,1074,,
Super built-up  Area,Ready To Move,Kaikondrahalli,2,,1115,2,2,500000,639,,
Plot  Area,Ready To Move,Hebbal Kempapura,2,,1200,2,1,1250000,514,,
Super built-up  Area,18-Dec,Old Airport Road,4,Jaades ,2690,4,3,1910000,895,,
Super built-up  Area,Ready To Move,Subramanyapura,2,Mayne A,975,2,1,580000,1115,,
Plot  Area,Ready To Move,Hosa Road,3,,675,3,2,725000,536,,
Super built-up  Area,Ready To Move,Chamrajpet,4,,1900,2,1,1700000,302,,
Plot  Area,17-Dec,Banashankari,3,,600,3,1,1000000,194,,
Super built-up  Area,Ready To Move,OMBR Layout,2,,1101,2,2,655000,889,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Maana E,1700,3,3,1350000,1039,,
Super built-up  Area,Ready To Move,Whitefield,4,PrOakSi,3606,4,2,3120000,1252,,
Super built-up  Area,Ready To Move,Padmanabhanagar,2,ACersd ,1258,2,2,1150000,907,,
Carpet  Area,Ready To Move,Kanakpura Road,3,Advash ,1560,3,,920000,664,,
Super built-up  Area,Ready To Move,Old Madras Road,4,Brica E,3630,6,1,1950000,896,,
Built-up  Area,Ready To Move,JP Nagar,3,Adace P,2000,3,2,2500000,575,,
Super built-up  Area,19-Jun,Hebbal,4,Raard B,2790,4,3,1980000,513,,
Super built-up  Area,20-Jan,Badavala Nagar,3,DNncasa,1494,2,2,945500,182,,
Super built-up  Area,18-Oct,Hennur Road,3,Puachal,1482,2,1,870000,522,,
Super built-up  Area,Ready To Move,Rustam Bagh Layout,2,Inuseda,800,2,3,500000,1010,,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2,,1185,2,2,473900,972,,
Super built-up  Area,Ready To Move,Hulimavu,2,RatosAr,1100,2,2,715000,549,,
Built-up  Area,Ready To Move,NRI Layout,2,,1300,2,0,1200000,841,,
Super built-up  Area,Ready To Move,4th Block Koramangala,2,EvestPi,1225,2,2,1500000,56,,
Super built-up  Area,Ready To Move,Hulimavu,3,,1758,3,2,650000,549,,
Super built-up  Area,Ready To Move,Banaswadi,2,,1145,2,2,550000,208,,
Built-up  Area,Ready To Move,Hormavu,2,BhncyRe,1180,2,2,500000,535,,
Super built-up  Area,Ready To Move,Belatur,2,Kehts H,1260,2,2,580000,235,,
Super built-up  Area,19-Jun,Yelahanka,4,Vaaram ,3450 - 3472,,,1730000,1261,,
Built-up  Area,Ready To Move,Arekere,2,DancyRe,1190,2,2,550000,142,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Kla L,1691,3,2,1190000,1039,,
Super built-up  Area,18-Dec,Lalbagh Road,4,,3675,4,3,3670000,750,,
Built-up  Area,Ready To Move,Frazer Town,3,Frhts H,1305,3,,954500,428,,
Super built-up  Area,18-Apr,Basavangudi,3,,2337,4,3,2920000,223,,
Plot  Area,Ready To Move,Kamakya Layout,2,,1200,2,2,1500000,648,,
Super built-up  Area,20-Dec,Domlur,2,,1206,2,1,2170000,402,,
Plot  Area,Ready To Move,Vignana Nagar,5,,1350,4,1,1300000,1217,,
Super built-up  Area,Ready To Move,Kogilu,2,,1140,2,1,506600,707,,
Super built-up  Area,Ready To Move,Nallurhalli,2,Mauil T,1250,2,2,650000,858,,
Plot  Area,Ready To Move,Kamakshipalya,3,,600,2,1,600000,647,,
Super built-up  Area,18-Aug,Chinnapanahalli,2,,1225,2,2,480000,331,,
Built-up  Area,Ready To Move,Kereguddadahalli,2,N iewak,800,2,2,280000,694,,
Super built-up  Area,Ready To Move,Jalahalli East,2,ShshaSa,1020,2,1,580000,590,,
Built-up  Area,Ready To Move,TC Palaya,4,,2100,2,1,500000,1138,,
Plot  Area,Ready To Move,Lingarajapuram,2,,1350,2,1,800000,758,,
Super built-up  Area,Ready To Move,Anekal,2,,925,2,1,400000,126,,
Built-up  Area,Ready To Move,Yelachenahalli,4,,1800,3,1,2200000,1260,,
Built-up  Area,Ready To Move,3rd Block HBR Layout,3,,2000,3,1,1000000,46,,
Built-up  Area,Ready To Move,Frazer Town,3,Loente ,1510,2,1,750000,428,,
Plot  Area,Ready To Move,Kasavanhalli,5,,5800,7,,12000000,670,,
Super built-up  Area,Ready To Move,Laxmi Sagar Layout,3,DubowRa,1614,3,1,1100000,755,,
Plot  Area,Ready To Move,Yeshwanthpur,3,,682,2,1,1300000,1267,,
Plot  Area,Ready To Move,Gottigere,2,,1200,2,0,950000,466,,
Plot  Area,Ready To Move,TC Palaya,2,,900,2,0,550000,1138,,
Built-up  Area,Ready To Move,Bommenahalli,4,Prana S,1632,3,0,1450000,272,,
Super built-up  Area,Ready To Move,OMBR Layout,2,,1041,2,2,655000,889,,
Built-up  Area,Ready To Move,7th Phase JP Nagar,6,BriumMi,5080,7,,4500000,72,,
Super built-up  Area,18-Jul,Bannerghatta,4,Mamespa,3012,6,2,2500000,215,,
Super built-up  Area,Ready To Move,Marathahalli,3,,1530,3,2,745000,799,,
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,3,NCdgerj,1450,2,2,1350000,1049,,
Super built-up  Area,Ready To Move,Bannerghatta Road,2,Hiate F,1200,2,2,750000,216,,
Plot  Area,Ready To Move,Sahakara Nagar,4,,1200,4,,1300000,1025,,
Super built-up  Area,Ready To Move,Hosur Road,3,PuendWe,1508,2,1,1100000,544,,
Built-up  Area,Ready To Move,New Gurappana Palya,7,,600,7,3,1060000,881,,
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2,AlEcone,1188,2,3,730000,383,,
Super built-up  Area,18-May,Old Airport Road,4,Jaades ,2690,4,3,1990000,895,,
Super built-up  Area,Ready To Move,Harlur,2,Prncyrn,1174,2,1,760000,509,,
Super built-up  Area,19-Dec,Old Madras Road,3,SheldGr,1350,3,1,589900,896,,
Super built-up  Area,Ready To Move,Frazer Town,3,Bamita ,1870,3,3,1850000,428,,
Super built-up  Area,18-Jun,Kengeri Satellite Town,2,DSestSt,1072,2,1,250000,690,,
Plot  Area,Ready To Move,Nelamangala,3,,52272,2,1,1400000,880,,
Super built-up  Area,18-Nov,Kengeri,2,VBn 2lm,726,2,1,310000,688,,
Super built-up  Area,Ready To Move,Hosur Road,2,Saageat,1345,2,2,1060000,544,,
Super built-up  Area,Ready To Move,Begur Road,2,Dhalsh ,1200,2,2,450000,232,,
Built-up  Area,Ready To Move,Nagavarapalya,2,,980,2,0,370000,854,,
Super built-up  Area,Ready To Move,Hormavu,2,SyidaCr,1050,2,1,770000,535,,
Super built-up  Area,Ready To Move,Uttarahalli,2,,993,2,1,397100,1179,,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3,,1300,2,2,520000,72,,
Super built-up  Area,Ready To Move,Vittasandra,3,Prlla C,1743,3,2,850000,1242,,
Plot  Area,Ready To Move,Whitefield,4,,1204,4,1,1250000,1252,,
Plot  Area,Ready To Move,Hormavu,2,,1200,2,0,670000,535,,
Super built-up  Area,Ready To Move,2nd Block Hrbr Layout,3,,1480,3,2,900000,37,,
Super built-up  Area,Ready To Move,Sarjapur,2,Sondaka,950,2,2,325000,1038,,
Built-up  Area,Ready To Move,Domlur,1,Saiewas,640,1,0,550000,402,,
Super built-up  Area,18-Jul,Electronic City Phase II,2,MJtroty,972,2,1,440000,419,,
Super built-up  Area,Ready To Move,Marathahalli,3,PadgeOa,1840,3,3,980000,799,,
Super built-up  Area,Ready To Move,Electronic City,2,Praun,1128,2,1,640000,417,,
Plot  Area,Ready To Move,Hongasandra,2,,680,2,0,420000,529,,
Plot  Area,Ready To Move,Harappanahalli,2,Clood E,2400,2,1,950000,508,,
Built-up  Area,Ready To Move,Basapura,2,,1045,2,2,420000,219,,
Built-up  Area,Ready To Move,Roopena Agrahara,2,,955,2,3,535500,1008,,
Super built-up  Area,Ready To Move,Doddakallasandra,3,,1360,2,2,543900,390,,
Super built-up  Area,Ready To Move,BTM Layout,2,Mames M,1150,2,2,630000,177,,
Built-up  Area,19-Mar,Hennur Road,4,Gollela,3450,4,3,2940000,522,,
Super built-up  Area,18-Oct,Chennammana Kere,2,,1115,2,2,568700,310,,
Super built-up  Area,Ready To Move,Jigani,2,DLhtsen,920,2,2,460000,606,,
Super built-up  Area,18-Jun,Bommasandra Industrial Area,2,,1030,2,1,410000,271,,
Super built-up  Area,Ready To Move,Thanisandra,3,Soitya ,1564,3,1,1010000,1148,,
Super built-up  Area,Ready To Move,Uttarahalli,2,SirlsPe,1045,2,1,450000,1179,,
Plot  Area,Ready To Move,Hegde Nagar,4,,1200,4,1,830000,515,,
Built-up  Area,Ready To Move,Subramanyapura,2,,1277,2,2,550000,1115,,
Super built-up  Area,Ready To Move,Kanaka Nagar,3,SoniaPe,2479.13,3,1,2150000,655,,
Super built-up  Area,Ready To Move,Sarjapur  Road,3,Adeatlm,1846,3,2,1400000,1039,,
Built-up  Area,Ready To Move,Tasker Town,2,,1100,2,0,1060000,1142,,
Super built-up  Area,Ready To Move,Govindpura,3,Muncy R,1690,3,,750000,469,,
Plot  Area,17-Jul,Hormavu,2,,1200,3,0,700000,535,,
Built-up  Area,Ready To Move,Yelahanka,4,InllaPa,3042,4,0,1310000,1261,,
Super built-up  Area,Ready To Move,Rajaji Nagar,3,Brway G,1640,3,3,2230000,976,,
Built-up  Area,19-Mar,NR Colony,2,GKncysi,1068,2,1,400500,840,,
Super built-up  Area,Ready To Move,Kanakpura Road,2,SGiew,1135,2,2,580000,664,,
Super built-up  Area,Ready To Move,Agara Village,3,,1925,3,2,1200000,93,,
Super built-up  Area,Ready To Move,Begur Road,3,,1615,3,2,600000,232,,
Super built-up  Area,Ready To Move,Shettigere,1,,650,1,1,260000,1067,,
Plot  Area,Ready To Move,Chikkasandra,9,,1200,9,3,1200000,328,,
Super built-up  Area,Ready To Move,Kaggadasapura,2,AnaveEn,1150,2,3,420000,637,,
Plot  Area,Ready To Move,Kothannur,6,,930,6,1,1350000,715,,
Super built-up  Area,18-Mar,Kenchanehalli R R Nagar,3,,1410,2,2,451200,685,,
Built-up  Area,Ready To Move,6th Phase JP Nagar,3,,600,2,0,1000000,67,,
Super built-up  Area,18-Apr,Kumara Pa,3,,2000,3,3,2070000,725,,
Super built-up  Area,Ready To Move,Tumkur Road,3,Sahtsva,1354,3,1,900000,1168,,
Plot  Area,Ready To Move,BEL Road,2,,1050,2,0,1100000,168,,
Built-up  Area,Ready To Move,Arekere,1,,600,1,1,280000,142,,
Plot  Area,Ready To Move,Varthur,4,SLncyaj,1320,2,1,1100000,1190,,
Super built-up  Area,18-May,Koramangala,3,,1600,3,2,880000,713,,
Built-up  Area,Ready To Move,Kanakpura Road,4,ColeyNa,3500,6,2,2250000,664,,
Super built-up  Area,Ready To Move,GM Palaya,2,Samesan,1000,2,1,360000,433,,
Super built-up  Area,Ready To Move,Byagadadhenahalli,3,VBavaai,1130,3,1,380000,281,,
Super built-up  Area,Ready To Move,Vittasandra,2,,1238,2,1,670000,1242,,
Super built-up  Area,Ready To Move,Ashwathnagar,3,Vaour S,2204,2,3,3050000,148,,
Plot  Area,Ready To Move,KR Puram,8,,1200,12,,1100000,626,,
Super built-up  Area,18-Apr,Kudlu Gate,3,,1364,2,3,463800,722,,
Built-up  Area,Ready To Move,Srinivasa Nagar,2,,900,2,1,450000,1104,,
Super built-up  Area,Ready To Move,Gubbalala,3,MauilTr,1745,3,2,1040000,478,,
Super built-up  Area,Ready To Move,Kogilu,2,,1200,2,1,533300,707,,
Super built-up  Area,Ready To Move,Kanakapura,2,,1020,2,1,428300,658,,
Super built-up  Area,18-Dec,Banashankari Stage III,3,,1650,3,2,1180000,203,,
Super built-up  Area,Ready To Move,Doddabommasandra,3,MaaveEn,1550,2,3,700000,388,,
Super built-up  Area,Ready To Move,5th Phase JP Nagar,2,,1440,2,2,600000,62,,
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3,Soe 2as,1329,2,2,459500,1041,,
Super built-up  Area,Ready To Move,Maruthi Layout,2,Prareth,916,2,1,420000,808,,
Super built-up  Area,Ready To Move,Hulimavu,1,NiaHy,688,1,2,500000,549,,
Super built-up  Area,Ready To Move,Sree Narayana Nagar,3,Sholaya,1358,3,3,500000,1096,,
Super built-up  Area,19-Jul,Kanakpura Road,2,Soazak ,1331,2,1,1070000,664,,
Super built-up  Area,Ready To Move,Malleshwaram,1,Kaamai ,686,1,1,625000,786,,
Super built-up  Area,Ready To Move,Hoodi,2,Sulla S,1050,2,2,500000,530,,
Super built-up  Area,Ready To Move,Talaghattapura,3,Sodgere,2106,3,2,1260000,1141,,
Super built-up  Area,18-Jul,Bhoganhalli,3,Rosha I,1718,3,2,902000,252,,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3,GrrvaGr,1530,3,2,570000,972,,
Super built-up  Area,Ready To Move,5th Block Hbr Layout,2,,1206,2,2,560000,60,,
Built-up  Area,Ready To Move,Hebbal,2,Arade A,1075,2,3,520000,513,,
Plot  Area,18-Dec,Sarjapur  Road,3,,1200,3,1,950000,1039,,
Super built-up  Area,18-Dec,Tunganagara,3,DSdidSp,1936,2,2,542100,1169,,
Super built-up  Area,Ready To Move,Nagavara,4,K dotna,2172.65,3,3,1200000,853,,
Super built-up  Area,Ready To Move,Sahakara Nagar,3,,1100,2,2,750000,1025,,
Plot  Area,Ready To Move,BTM 2nd Stage,3,,1260,5,1,1850000,175,,
Plot  Area,Ready To Move,Hongasandra,8,,990,12,0,1200000,529,,
Plot  Area,Ready To Move,Jalahalli East,3,,800,2,1,800000,590,,
Super built-up  Area,Ready To Move,Sarjapur  Road,2,Soikaa ,1117,2,3,299900,1039,,
Built-up  Area,Ready To Move,Remco Bhel Layout,3,Suncy R,1685,2,1,1100000,1002,,
Super built-up  Area,Ready To Move,CV Raman Nagar,2,AnncyRe,740,2,1,370000,292,,
Plot  Area,Ready To Move,Chamrajpet,4,,1080,4,2,2500000,302,,
Plot  Area,Ready To Move,Magadi Road,4,,1500,2,2,930000,772,,
Super built-up  Area,Ready To Move,Banashankari,3,Bregae ,1800,3,2,1150000,194,,
Super built-up  Area,Ready To Move,Yelachenahalli,3,PuontBe,1700,3,2,1300000,1260,,
Built-up  Area,Ready To Move,Uttarahalli,2,Kinumsh,850,2,2,379300,1179,,
Super built-up  Area,Ready To Move,Hennur Road,3,SaireSa,1891,3,1,1390000,522,,
Built-up  Area,Ready To Move,Jalahalli,2,Prensin,1400,1,1,800000,589,,
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2,,1172,2,2,820000,745,,
Super built-up  Area,18-May,Electronic City Phase II,3,,1400,2,2,404300,419,,
Built-up  Area,Ready To Move,Sonnenahalli,2,DSgam S,896,2,1,437500,1093,,
Super built-up  Area,20-Jun,Vijayanagar,2,Saityat,1180,2,2,650000,1222,,
Plot  Area,Ready To Move,Basaveshwara Nagar,7,,2460,7,1,3500000,225,,
Built-up  Area,Ready To Move,Chokkasandra,2,Siise R,850,2,1,330000,334,,
Super built-up  Area,19-Oct,Anekal,1,,530,1,1,180000,126,,
Super built-up  Area,18-Jul,2nd Block Hrbr Layout,3,,1550,3,3,1100000,37,,
Super built-up  Area,19-Dec,Kanakapura,3,GoityEt,1699,3,3,970000,658,,
Super built-up  Area,17-Oct,Bellandur,4,NiCodCa,2025,4,3,1090000,236,,
Super built-up  Area,18-Jun,Ananth Nagar,1,,500,2,2,140000,121,,
Built-up  Area,Ready To Move,Panduranga Nagar,1,Jeshan ,500,1,0,200000,916,,
Built-up  Area,Ready To Move,Sri Venkateshpura Layout,2,,1146,2,1,385000,1100,,
Super built-up  Area,Ready To Move,Malleshwaram,3,Sariaat,2475,4,3,3320000,786,,
Super built-up  Area,Ready To Move,Haralur Road,2,Rencyed,1455,2,1,1450000,506,,
Plot  Area,Ready To Move,Seegehalli,2,,800,1,0,500000,1054,,
Super built-up  Area,Ready To Move,Abbigere,1,,765,2,2,300000,86,,
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,Soiewre,1521,3,1,949900,757,,
Super built-up  Area,Ready To Move,Gottigere,3,,1600,2,2,550000,466,,
Super built-up  Area,Ready To Move,Byadarahalli,3,Prurten,3155,4,2,3700000,280,,
Super built-up  Area,Ready To Move,Hebbal Kempapura,3,GonumPl,2900,4,,2400000,514,,
Super built-up  Area,Ready To Move,Jakkur Plantation,3,Reicace,1765,3,3,1050000,585,,
Super built-up  Area,Ready To Move,Kasavanhalli,3,Incksaf,1980,3,2,880000,670,,
Built-up  Area,Ready To Move,Amruthahalli,3,,1900,3,1,1350000,114,,
Super built-up  Area,Ready To Move,Kaverappa Layout,2,Dural C,1265,2,3,700000,679,,
Super built-up  Area,Ready To Move,Bommasandra,2,Niara S,1034,2,3,400000,270,,
Built-up  Area,Ready To Move,Kaverappa Layout,2,,1012,2,1,590000,679,,
Super built-up  Area,Ready To Move,Electronic City,2,GMown E,1070,2,1,540000,417,,
Built-up  Area,Ready To Move,Mahadevpura,4,,3555,4,1,2300000,773,,
Super built-up  Area,Ready To Move,5th Block Hbr Layout,3,,1270,2,2,700000,60,,
Plot  Area,Ready To Move,Yeshwanthpur,2,,585,1,0,700000,1267,,
Super built-up  Area,Ready To Move,Doddanekundi,3,AkletBa,2045,4,3,1540000,395,,
Super built-up  Area,Ready To Move,Bellandur,3,AkonyHa,1490,2,2,980000,236,,
Built-up  Area,Ready To Move,Banaswadi,7,,6150,6,1,8300000,208,,
Super built-up  Area,Ready To Move,Mysore Road,2,,883,2,1,400000,837,,
Super built-up  Area,Ready To Move,Yeshwanthpur,1,IBityin,671,1,1,368500,1267,,
Super built-up  Area,Ready To Move,Kammasandra,2,Elent,1156,2,2,320000,654,,
Super built-up  Area,Ready To Move,Haralur Road,3,NDionas,2017,3,2,1250000,506,,
Super built-up  Area,Ready To Move,Thigalarapalya,4,Prtanha,3122,6,2,2350000,1153,,
Super built-up  Area,18-Jul,Ramagondanahalli,3,ViistLa,1635,3,1,620000,987,,
Built-up  Area,Ready To Move,Sir M V Nagar,7,,4400,9,,1200000,1086,,
Super built-up  Area,19-Jul,Kanakpura Road,2,Soazak ,1296,2,1,890000,664,,
Plot  Area,Ready To Move,Bikasipura,6,,2400,4,2,2800000,259,,
Super built-up  Area,Ready To Move,Budigere,2,PrityTr,1139,2,2,620000,278,,
Super built-up  Area,18-Aug,CV Raman Nagar,2,,1230,3,2,470000,292,,
Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,1,,581.91,2,1,250000,226,,
Super built-up  Area,19-Dec,Binny Pete,2,Shestlo,1245,2,1,862800,267,,
Plot  Area,Ready To Move,Sidedahalli,3,,1158,2,2,850000,1078,,
Built-up  Area,Ready To Move,Marathahalli,4,PueraRi,3951,4,2,2200000,799,,
Super built-up  Area,Ready To Move,Electronic City,2,Itelaa ,550,1,1,150000,417,,
Super built-up  Area,Ready To Move,Ramamurthy Nagar,1,ItRRVna,360,1,1,260000,990,,
Super built-up  Area,Ready To Move,Electronics City Phase 1,3,,1350,3,1,550000,422,,
Built-up  Area,Ready To Move,Green Glen Layout,3,Soweray,1670,3,2,1200000,474,,
